Region,Month,Rainy_Day_Prob
Region1,1,0.1020052310374891
Region1,2,0.20956937799043063
Region1,3,0.5414123801220575
Region1,4,0.7846846846846847
Region1,5,0.7907585004359198
Region1,6,0.7063063063063063
Region1,7,0.7619877942458587
Region1,8,0.8456843940714909
Region1,9,0.7981981981981981
Region1,10,0.8482999128160419
Region1,11,0.6882882882882883
Region1,12,0.25457715780296425
Region2,1,0.24237140366172624
Region2,2,0.3569377990430622
Region2,3,0.6739319965126417
Region2,4,0.8441441441441442
Region2,5,0.7637314734088928
Region2,6,0.5837837837837838
Region2,7,0.5945945945945946
Region2,8,0.7785527462946817
Region2,9,0.8450450450450451
Region2,10,0.8884045335658239
Region2,11,0.7918918918918919
Region2,12,0.4141238012205754
Region3,1,0.3260680034873583
Region3,2,0.42392344497607654
Region3,3,0.6268526591107236
Region3,4,0.7198198198198198
Region3,5,0.6146469049694856
Region3,6,0.48018018018018016
Region3,7,0.47166521360069746
Region3,8,0.6556233653007847
Region3,9,0.7189189189189189
Region3,10,0.7192676547515258
Region3,11,0.7081081081081081
Region3,12,0.4202266782911944
Region4,1,0.3818657367044464
Region4,2,0.4564593301435407
Region4,3,0.6765475152571927
Region4,4,0.7891891891891892
Region4,5,0.6068003487358327
Region4,6,0.39369369369369367
Region4,7,0.34612031386224934
Region4,8,0.6242371403661726
Region4,9,0.8162162162162162
Region4,10,0.8596338273757629
Region4,11,0.8279279279279279
Region4,12,0.5666957279860506
Region5,1,0.46817785527462946
Region5,2,0.5377990430622009
Region5,3,0.6599825632083697
Region5,4,0.7072072072072072
Region5,5,0.5126416739319966
Region5,6,0.23783783783783785
Region5,7,0.1857018308631212
Region5,8,0.44463818657367044
Region5,9,0.7441441441441441
Region5,10,0.8221447253705318
Region5,11,0.8081081081081081
Region5,12,0.5989537925021796
